epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate
1,0.7713011548632667,0.5476190476190477,0.5754237704806857,0.7111111111111111,0.001
2,0.6014306113833473,0.6583333333333333,0.6714135686556498,0.6888888888888889,0.001
3,0.525474518821353,0.7095238095238096,0.5545895662572649,0.7277777777777777,0.001
4,0.522442344824473,0.7297619047619047,0.5835055053234101,0.6388888888888888,0.001
5,0.5107564608256022,0.7392857142857143,0.5833213342560662,0.7055555555555556,0.001
6,0.5081335311844235,0.7440476190476191,0.5521504018041823,0.7333333333333333,0.001
7,0.47064812637510756,0.7488095238095238,0.6428134858608245,0.7222222222222222,0.001
8,0.5203836333184015,0.7416666666666667,0.6270720892482333,0.7,0.001
9,0.47995148386274067,0.7654761904761904,0.5133197585741679,0.7388888888888889,0.001
10,0.4345407684644063,0.775,0.4567833019627465,0.7611111111111111,0.001
11,0.3984475926274345,0.7916666666666666,0.5255383445156945,0.7444444444444445,0.001
12,0.42001944865499224,0.775,0.45206993487146163,0.7777777777777778,0.001
13,0.4116337733609336,0.794047619047619,0.6090135978327857,0.7555555555555555,0.001
14,0.3797826324190412,0.8035714285714286,0.5080010135968526,0.7555555555555555,0.001
15,0.37090138963290625,0.8119047619047619,0.4473899205525716,0.7888888888888889,0.001
16,0.3622400300843375,0.8023809523809524,0.43513839774661595,0.8111111111111111,0.001
17,0.3524880817958287,0.8166666666666667,0.4738149623076121,0.7611111111111111,0.001
18,0.35655786849203563,0.8357142857142857,0.4979755077097151,0.7166666666666667,0.001
19,0.3643259315263657,0.8154761904761905,0.5037030167049832,0.7555555555555555,0.0005
20,0.3244709781238011,0.8488095238095238,0.5408260842164357,0.7444444444444445,0.0005
21,0.29736765850157965,0.8726190476190476,0.4241279535823398,0.8,0.0005
22,0.29032611960456484,0.861904761904762,0.4366273257467482,0.7833333333333333,0.0005
23,0.269074855531965,0.8809523809523809,0.41265196667777165,0.7833333333333333,0.0005
24,0.26018756741569155,0.8845238095238095,0.43650081091456944,0.7944444444444444,0.0005
25,0.2642805474145072,0.888095238095238,0.4423328717549642,0.7944444444444444,0.0005
