epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate
1,0.7317133159864516,0.6880952380952381,1.0683133429951137,0.6388888888888888,0.001
2,0.6578502030599684,0.7309523809523809,0.6334423926141527,0.7944444444444444,0.001
3,0.591871018069131,0.7714285714285715,0.6033028542995453,0.7722222222222223,0.001
4,0.6123876861163549,0.7726190476190476,0.5483963403436872,0.8277777777777777,0.001
5,0.6661439191727411,0.725,0.915705672899882,0.5944444444444444,0.001
6,0.598130148365384,0.763095238095238,0.5997564627064599,0.7444444444444445,0.001
7,0.563844054653531,0.7892857142857143,0.5208337903022766,0.8444444444444444,0.001
8,0.5951649563653129,0.7690476190476191,0.6276589009496901,0.75,0.001
9,0.5749033263751439,0.7738095238095238,0.5672671708795759,0.8111111111111111,0.001
10,0.5645450137910388,0.7797619047619048,0.5530677543746101,0.7944444444444444,0.0005
11,0.5460490311895098,0.7988095238095239,0.5394673334227668,0.85,0.0005
12,0.537448183127812,0.7976190476190477,0.5253041572040982,0.8388888888888889,0.0005
13,0.5332038521766662,0.8119047619047619,0.5047193924585979,0.8388888888888889,0.0005
14,0.5286019603411357,0.8035714285714286,0.513363676600986,0.8333333333333334,0.0005
15,0.5516176831154597,0.8202380952380952,0.5015835920969646,0.8333333333333334,0.0005
16,0.5307555170286269,0.8166666666666667,0.500243157810635,0.8555555555555555,0.0005
17,0.5511698507127307,0.7892857142857143,0.5053917944431305,0.8388888888888889,0.0005
18,0.5235031031426929,0.8107142857142857,0.5024735636181301,0.8388888888888889,0.0005
19,0.5151647794814337,0.8119047619047619,0.5166230042775471,0.8333333333333334,0.00025
20,0.5045098452340989,0.825,0.498577270242903,0.8277777777777777,0.00025
21,0.5385001903488522,0.8095238095238095,0.48293995791011385,0.85,0.00025
22,0.525696207228161,0.805952380952381,0.4943071418338352,0.8444444444444444,0.00025
23,0.4824867362067813,0.8511904761904762,0.49130458301968044,0.8333333333333334,0.00025
24,0.4979266087214152,0.8107142857142857,0.4878821876313951,0.85,0.000125
25,0.5003635060219538,0.8130952380952381,0.4863082574473487,0.8333333333333334,0.000125
26,0.5024830545697894,0.825,0.48697300222184925,0.8333333333333334,0.000125
