epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate
1,0.7302940198353358,0.6904761904761905,0.9308287911944919,0.5888888888888889,0.001
2,0.6455494256246658,0.7511904761904762,0.63850593301985,0.7166666666666667,0.001
3,0.6358004308882214,0.7511904761904762,0.7245732082260979,0.6666666666666666,0.001
4,0.6247844400860014,0.7642857142857142,0.6085562202665541,0.7666666666666667,0.001
5,0.5966118806884402,0.7773809523809524,0.6081786990165711,0.75,0.001
6,0.6194193885439918,0.7702380952380953,0.7209308399094476,0.65,0.001
7,0.5737631655874706,0.7916666666666666,0.5504793047904968,0.8222222222222222,0.001
8,0.555758189587366,0.805952380952381,0.6746924002965291,0.7055555555555556,0.001
9,0.5619516361327398,0.8,0.5359593212604523,0.8277777777777777,0.001
10,0.5381767377966926,0.8166666666666667,0.5679304109679328,0.8388888888888889,0.001
11,0.5460398219880603,0.7976190476190477,0.5226686702834236,0.8111111111111111,0.001
12,0.5511176983515421,0.7976190476190477,0.5377997173203363,0.85,0.001
13,0.5280019802706583,0.8107142857142857,0.5464292519622379,0.7833333333333333,0.001
14,0.541281727382115,0.7988095238095239,0.6021766000323825,0.7722222222222223,0.0005
15,0.5297949697290149,0.8142857142857143,0.5198740171061622,0.8222222222222222,0.0005
16,0.5379104761850266,0.8,0.5759118874867757,0.7555555555555555,0.0005
17,0.5226731473491305,0.8119047619047619,0.5238649116622077,0.8,0.0005
18,0.514643795149667,0.8202380952380952,0.501795721716351,0.8111111111111111,0.0005
19,0.5356480527491797,0.8083333333333333,0.4897432969676124,0.8277777777777777,0.0005
20,0.49611815384456087,0.844047619047619,0.521432591146893,0.8,0.0005
21,0.5029886699858166,0.8297619047619048,0.5251803212695652,0.8,0.0005
22,0.509278317576363,0.8333333333333334,0.523659516705407,0.8055555555555556,0.00025
