model_name,trainable_parameters,best_validation_loss,best_validation_accuracy,final_train_accuracy,final_validation_accuracy,test_accuracy,test_loss,misclassified_examples,test_built_ratio_mae
urban_cnn_v1,2191427,0.4248902201652527,0.8571428571428571,0.8387096774193549,0.8571428571428571,0.7142857142857143,0.47873976826667786,2,
urban_meta_stack_v1,60,,1.0,,1.0,0.42857142857142855,,4,
urban_cnn_v3,1944867,1.030142903327942,0.7142857142857143,0.9032258064516129,0.2857142857142857,0.42857142857142855,1.0581750869750977,4,
urban_cnn_v4,1982148,1.0694482326507568,0.7142857142857143,0.9032258064516129,0.42857142857142855,0.42857142857142855,1.1621769666671753,4,0.27131661772727966
urban_cnn_v2,300579,1.0923162698745728,0.42857142857142855,0.9032258064516129,0.2857142857142857,0.2857142857142857,1.0961313247680664,5,
