epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate
1,0.8047786065510341,0.6535714285714286,0.862146880891588,0.6444444444444445,0.001
2,0.6414039946737744,0.7428571428571429,0.5901346431838141,0.7722222222222223,0.001
3,0.5975226067361378,0.763095238095238,0.5859770642386543,0.7277777777777777,0.001
4,0.5803505080086845,0.7654761904761904,0.6416854845152961,0.7388888888888889,0.001
5,0.5187576560747056,0.8035714285714286,0.7994691689809164,0.6888888888888889,0.001
6,0.52697936466762,0.8,0.4769142574734158,0.8444444444444444,0.001
7,0.5243850878306797,0.7880952380952381,0.5063220275772943,0.7888888888888889,0.001
8,0.5463193212236677,0.780952380952381,0.6441945619053311,0.6888888888888889,0.001
9,0.5288781393141974,0.7904761904761904,0.6117008176114824,0.7722222222222223,0.0005
10,0.5104328195254008,0.7964285714285714,0.4985197001033359,0.8111111111111111,0.0005
11,0.4958285717737107,0.8083333333333333,0.4710402852959103,0.8388888888888889,0.0005
12,0.5076727310816447,0.8154761904761905,0.5177106506294674,0.7611111111111111,0.0005
13,0.48624451501028876,0.8071428571428572,0.5591046081648933,0.7777777777777778,0.0005
14,0.4965663688523429,0.8011904761904762,0.4773337205251058,0.8388888888888889,0.00025
15,0.4823914808886392,0.8130952380952381,0.4840220232804616,0.8333333333333334,0.00025
16,0.4735903527055468,0.8083333333333333,0.4722904284795125,0.8277777777777777,0.00025
17,0.4745431207475208,0.8178571428571428,0.4555515209833781,0.8277777777777777,0.00025
18,0.43981057490621295,0.8321428571428572,0.45886697438028123,0.8277777777777777,0.00025
